"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","Morocco","31.7917","-7.0926","1394","1427","1453","1491","1524","1553","1578","1614","1614","31.7917,-7.0926"
"-","Mozambique","-18.665695","35.529562","27","28","28","31","31","35","35","35","35","-18.665695,35.529562"
"-","Namibia","-22.9576","18.4904","91","91","93","96","98","98","101","103","103","-22.9576,18.4904"
"-","Nepal","28.1667","84.25","300","306","312","317","322","336","345","360","360","28.1667,84.25"
"-","Netherlands","12.5211","-69.9683","15","15","15","16","18","18","18","20","20","12.5211,-69.9683"
"-","Netherlands","12.1784","-68.2385","0","0","0","0","0","0","0","0","0","12.1784,-68.2385"
"-","Netherlands","12.1696","-68.99","1","1","1","1","1","1","1","1","1","12.1696,-68.99"
"-","Netherlands","18.0425","-63.0548","19","19","19","19","19","19","19","19","19","18.0425,-63.0548"
"-","Netherlands","52.1326","5.2913","6243","6244","6246","6249","6252","6253","6254","6256","6256","52.1326,5.2913"
"-","New Zealand","-40.9006","174.886","24","24","24","24","24","24","24","24","24","-40.9006,174.886"
"-","Nicaragua","12.865416","-85.207229","141","144","144","144","144","144","144","144","144","12.865416,-85.207229"
"-","Niger","17.607789","8.081666","69","69","69","69","69","69","69","69","69","17.607789,8.081666"
"-","Nigeria","9.082","8.6753","1061","1067","1070","1075","1076","1078","1082","1083","1083","9.082,8.6753"
"-","North Macedonia","41.6086","21.7453","623","631","634","637","642","646","648","652","652","41.6086,21.7453"
"-","Norway","60.472","8.4689","264","264","264","265","265","265","265","265","265","60.472,8.4689"
"-","Oman","21.512583","55.92325500000001","734","742","751","762","762","762","780","790","790","21.512583,55.92325500000001"
"-","Pakistan","30.3753","69.3451","6350","6359","6365","6370","6373","6379","6383","6389","6389","30.3753,69.3451"
"-","Panama","8.538","-80.7821","2099","2107","2116","2127","2140","2155","2166","2173","2173","8.538,-80.7821"
"-","Papua New Guinea","-6.314993","143.95555","5","5","5","5","5","5","6","6","6","-6.314993,143.95555"
"-","Paraguay","-23.4425","-58.4438","449","463","474","485","496","514","525","539","539","-23.4425,-58.4438"
"-","Peru","-9.19","-75.0152","29838","29976","30123","30236","30344","30470","30526","30710","30710","-9.19,-75.0152"
"-","Philippines","12.879721","121.77401699999999","3890","3916","3986","4066","4108","4292","4371","4630","4630","12.879721,121.77401699999999"
"-","Poland","51.9194","19.1451","2124","2136","2147","2159","2169","2182","2188","2203","2203","51.9194,19.1451"
"-","Portugal","39.3999","-8.2245","1843","1846","1849","1852","1855","1860","1867","1871","1871","39.3999,-8.2245"
"-","Qatar","25.3548","51.1839","205","205","205","205","205","205","205","207","207","25.3548,51.1839"
"-","Romania","45.9432","24.9668","3926","3967","4018","4065","4100","4127","4163","4185","4185","45.9432,24.9668"
"-","Russia","61.52401","105.31875600000001","17818","17939","18080","18207","18309","18426","18517","18573","18573","61.52401,105.31875600000001"
"-","Rwanda","-1.9403","29.8739","19","20","21","22","22","22","22","22","22","-1.9403,29.8739"
"-","Saint Kitts and Nevis","17.357822","-62.782998","0","0","0","0","0","0","0","0","0","17.357822,-62.782998"
"-","Saint Lucia","13.9094","-60.9789","0","0","0","0","0","0","0","0","0","13.9094,-60.9789"
"-","Saint Vincent and the Grenadines","12.9843","-61.2872","0","0","0","0","0","0","0","0","0","12.9843,-61.2872"
"-","San Marino","43.9424","12.4578","42","42","42","42","42","42","42","42","42","43.9424,12.4578"
"-","Sao Tome and Principe","0.1864","6.6131","15","15","15","15","15","15","15","15","15","0.1864,6.6131"
"-","Saudi Arabia","23.885942","45.079162","4107","4137","4165","4189","4213","4240","4268","4305","4305","23.885942,45.079162"
"-","Senegal","14.4974","-14.4524","291","292","293","293","293","295","297","297","297","14.4974,-14.4524"
"-","Serbia","44.0165","21.0059","725","727","728","729","730","731","733","733","733","44.0165,21.0059"
"-","Seychelles","-4.6796","55.492","0","0","0","0","0","0","0","0","0","-4.6796,55.492"
"-","Sierra Leone","8.460555000000001","-11.779889","71","72","72","72","72","72","72","72","72","8.460555000000001,-11.779889"
"-","Singapore","1.2833","103.8333","27","27","27","27","27","27","27","27","27","1.2833,103.8333"
"-","Slovakia","48.669","19.699","37","37","37","37","37","38","38","38","38","48.669,19.699"
"-","Slovenia","46.1512","14.9955","135","135","135","135","135","135","135","135","135","46.1512,14.9955"
"-","Somalia","5.152149","46.199616","97","97","97","97","98","98","98","98","98","5.152149,46.199616"
"-","South Africa","-30.5595","22.9375","15004","15086","15168","15265","15378","15427","15447","15499","15499","-30.5595,22.9375"
"-","South Sudan","6.8770000000000024","31.307","48","49","49","49","49","49","49","49","49","6.8770000000000024,31.307"
"-","Spain","40.463667","-3.7492199999999998","29516","29594","29628","29699","29747","29747","29747","29848","29848","40.463667,-3.7492199999999998"
"-","Sri Lanka","7.873054","80.77179699999998","12","12","12","12","12","12","12","13","13","7.873054,80.77179699999998"
"-","Sudan","12.8628","30.2176","833","833","833","833","834","834","835","836","836","12.8628,30.2176"
"-","Suriname","3.9193","-56.0278","91","91","92","93","93","93","93","95","95","3.9193,-56.0278"
"-","Sweden","60.128161","18.643501","5837","5838","5842","5843","5846","5846","5846","5846","5846","60.128161,18.643501"
"-","Switzerland","46.8182","8.2275","2014","2018","2019","2020","2020","2020","2021","2025","2025","46.8182,8.2275"
"-","Syria","34.802075","38.99681500000001","137","140","143","147","150","152","155","157","157","34.802075,38.99681500000001"
"-","Taiwan*","23.7","121.0","7","7","7","7","7","7","7","7","7","23.7,121.0"
"-","Tajikistan","38.861","71.2761","70","70","71","72","72","72","72","72","72","38.861,71.2761"
"-","Tanzania","-6.369028","34.888822","21","21","21","21","21","21","21","21","21","-6.369028,34.888822"
"-","Thailand","15.870032","100.992541","58","58","58","58","58","58","58","58","58","15.870032,100.992541"
"-","Timor-Leste","-8.874217","125.727539","0","0","0","0","0","0","0","0","0","-8.874217,125.727539"
"-","Togo","8.6195","0.8248","33","34","36","37","37","37","37","40","40","8.6195,0.8248"
"-","Trinidad and Tobago","10.6918","-61.2225","37","39","39","43","50","51","53","55","55","10.6918,-61.2225"
"-","Tunisia","33.886917","9.537499","94","96","96","99","103","107","107","117","117","33.886917,9.537499"
"-","Turkey","38.9637","35.2433","6730","6782","6837","6895","6951","6999","7056","7119","7119","38.9637,35.2433"
"-","US","40.0","-100.0","189208","189653","190859","191766","192979","193693","194071","194493","194493","40.0,-100.0"
"-","Uganda","1.373333","32.290275","44","46","46","48","49","52","55","56","56","1.373333,32.290275"
"-","Ukraine","48.3794","31.1656","2930","2988","3034","3079","3132","3206","3239","3273","3273","48.3794,31.1656"
"-","United Arab Emirates","23.424076","53.847818000000004","390","391","393","398","398","399","399","399","399","23.424076,53.847818000000004"
