"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","Togo","8.6195","0.8248","1493","1513","1528","1537","1548","1555","1572","1578","1578","8.6195,0.8248"
"-","Trinidad and Tobago","10.6918","-61.2225","2277","2391","2588","2698","2825","2993","3042","3141","3141","10.6918,-61.2225"
"-","Tunisia","33.886917","9.537499","5124","5417","5417","5882","6259","6635","6635","7382","7382","33.886917,9.537499"
"-","Turkey","38.9637","35.2433","281509","283270","284943","286455","288126","289635","291162","292878","292878","38.9637,35.2433"
"-","US","40","-100","6300622","6327009","6360212","6396100","6443652","6485123","6520122","6553652","6553652","40,-100"
"-","Uganda","1.373333","32.290275","3776","3900","4101","4291","4377","4703","4799","4978","4978","1.373333,32.290275"
"-","Ukraine","48.3794","31.1656","141424","143914","146511","149146","152373","155558","158122","160679","160679","48.3794,31.1656"
"-","United Arab Emirates","23.424076","53.847818","74454","75098","75981","76911","77842","78849","79489","80266","80266","23.424076,53.847818"
"-","United Kingdom","18.2206","-63.0686","3","3","3","3","3","3","3","3","3","18.2206,-63.0686"
"-","United Kingdom","32.3078","-64.7505","175","175","177","177","177","177","177","177","177","32.3078,-64.7505"
"-","United Kingdom","18.4207","-64.64","63","63","63","63","63","66","66","66","66","18.4207,-64.64"
"-","United Kingdom","19.3133","-81.2546","205","205","207","208","208","208","208","208","208","19.3133,-81.2546"
"-","United Kingdom","49.3723","-2.3644","628","629","631","631","633","633","633","633","633","49.3723,-2.3644"
"-","United Kingdom","-51.7963","-59.5236","13","13","13","13","13","13","13","13","13","-51.7963,-59.5236"
"-","United Kingdom","36.1408","-5.3536","315","320","322","323","323","327","330","330","330","36.1408,-5.3536"
